Benchmark Number,AK State Job Title Only,AK State Occupational Group,AK State Job Class Code,AK State Job Family,AK State BU,AK State Schedule,AK State Pay Range,AK State Annual Range Minimum (Step A),Combined Market 65th Percentile MINIMUM,AK State as a % of Combined Market 65th Percentile MINIMUM,% Difference (State minus Market)/Market)
3,Office Assistant 1,Administrative and Office Support,PB0102,PB01 - General Administration,GP,200,8,34983,43186,0.81,-19
4,Secretary,Administrative and Office Support,PB0130,PB01 - General Administration,XE,N00,11,43115,56890,0.76,-24
5,Executive Secretary 3,Administrative and Office Support,PB0137,PB01 - General Administration,XE,N00,16,59534,73930,0.81,-19
6,Administrative Assistant 2,Administrative and Office Support,PB0152,PB01 - General Administration,GP,200,14,50466,48093,1.05,5
7,Administrative Officer 1,Administrative and Office Support,PB0154,PB01 - General Administration,SS,200,17,67995,66080,1.03,3
8,Administrative Operations Manager 1,Administrative and Office Support,PB0157,PB01 - General Administration,SS,200,22,95326,81088,1.18,18
9,Accounting Clerk,Administrative and Office Support,PB0202,PB02 - Accounting and Fiscal,GP,200,10,39410,43463,0.91,-9
10,Accounting Technician 2,Administrative and Office Support,PB0206,PB02 - Accounting and Fiscal,GP,200,14,50466,54912,0.92,-8
11,Accountant 2,Administrative and Office Support,PB0212,PB02 - Accounting and Fiscal,GP,200,16,57974,72003,0.81,-19
12,Accountant 4,Administrative and Office Support,PB0214,PB02 - Accounting and Fiscal,SS,200,20,83470,80664,1.03,3
13,Payroll Manager,Administrative and Office Support,PB0230,PB02 - Accounting and Fiscal,KK,200,22,92331,96220,0.96,-4
14,Payroll Specialist 1,Administrative and Office Support,PB0231,PB02 - Accounting and Fiscal,KK,200,16,61464,69807,0.88,-12
15,Budget Analyst 2,Administrative and Office Support,PB0243,PB02 - Accounting and Fiscal,GP,200,19,71526,81746,0.87,-13
16,Budget Analyst 4,Administrative and Office Support,PB0245,PB02 - Accounting and Fiscal,SS,200,22,95326,114285,0.83,-17
17,Human Resource Technician 2,Administrative and Office Support,PB0303,PB03 - Personnel and Employee Relations,KK,200,14,53560,56026,0.96,-4
18,Payroll Services Supervisor,Administrative and Office Support,PB0305,PB03 - Personnel and Employee Relations,KK,200,17,65832,72973,0.90,-10
19,Human Resource Consultant 1,Administrative and Office Support,PB0311,PB03 - Personnel and Employee Relations,KK,200,16,61464,70659,0.87,-13
20,Human Resource Consultant 5,Administrative and Office Support,PB0315,PB03 - Personnel and Employee Relations,KK,200,22,92331,102872,0.90,-10
21,Labor Relations Analyst 2,Administrative and Office Support,PB0322,PB03 - Personnel and Employee Relations,KK,200,20,80787,80968,1.00,0
22,Labor Relations Manager,Administrative and Office Support,PB0325,PB03 - Personnel and Employee Relations,XE,N00,24,102297,115226,0.89,-11
23,Retirement and Benefits Technician 2,Administrative and Office Support,PB0333,PB03 - Personnel and Employee Relations,GP,200,14,50466,58119,0.87,-13
24,Retirement and Benefits Specialist 1,Administrative and Office Support,PB0341,PB03 - Personnel and Employee Relations,GP,200,16,57974,66346,0.87,-13
25,Alaska Marine Highway System Dispatcher,Administrative and Office Support,PB0351,PB03 - Personnel and Employee Relations,KK,200,15,57346,56859,1.01,1
26,GIS Analyst 2,Administrative and Office Support,PB0496,PB04 - Information Technology,GP,200,17,62069,69497,0.89,-11
27,Statistical Technician 2,Administrative and Office Support,PB0503,PB05 - Statistics and Research Analysis,GP,200,14,50466,64463,0.78,-22
28,Research Analyst 1,Administrative and Office Support,PB0511,PB05 - Statistics and Research Analysis,GP,200,13,47307,62407,0.76,-24
29,Research Analyst 2,Administrative and Office Support,PB0512,PB05 - Statistics and Research Analysis,GP,200,16,57974,72737,0.80,-20
30,Research Analyst 3,Administrative and Office Support,PB0513,PB05 - Statistics and Research Analysis,GP,200,18,66788,79293,0.84,-16
31,Research Analyst 4,Administrative and Office Support,PB0514,PB05 - Statistics and Research Analysis,SS,200,21,89232,123466,0.72,-28
32,"Chief, Health Analytics and Vital Records",Administrative and Office Support,PB0540,PB05 - Statistics and Research Analysis,SS,200,22,95326,119832,0.80,-20
33,Demographer,Administrative and Office Support,PB0551,PB05 - Statistics and Research Analysis,GP,200,19,71526,,,
34,State Demographer,Administrative and Office Support,PB0552,PB05 - Statistics and Research Analysis,SS,200,22,95326,,,
35,Stock and Parts Services 2,Administrative and Office Support,PB0602,PB06 - Supply,LL,2AA,55,52312,50666,1.03,3
36,Supply Technician 1,Administrative and Office Support,PB0611,PB06 - Supply,GP,200,10,39410,46262,0.85,-15
37,Contracting Officer 2,Administrative and Office Support,PB0622,PB06 - Supply,GP,200,16,57974,62754,0.92,-8
38,Contracting Officer 4,Administrative and Office Support,PB0624,PB06 - Supply,SS,200,22,95326,108465,0.88,-12
39,Procurement Specialist 2,Administrative and Office Support,PB0632,PB06 - Supply,GP,200,16,57974,61266,0.95,-5
40,Procurement Specialist 5,Administrative and Office Support,PB0635,PB06 - Supply,SS,200,21,89232,89222,1.00,0
41,State Chief Information Officer,Administrative and Office Support,PB0701,PB07 - Office of Information Technology,XE,N00,28,121329,170153,0.71,-29
42,Deputy Chief Information Officer,Administrative and Office Support,PB0702,PB07 - Office of Information Technology,XE,N00,27,117371,148735,0.79,-21
43,Chief Technology Officer 3,Administrative and Office Support,PB0707,PB07 - Office of Information Technology,XE,N00,26,113588,136484,0.83,-17
44,"Staff Manager, OIT",Administrative and Office Support,PB0709,PB07 - Office of Information Technology,XE,N00,25,109493,125791,0.87,-13
45,Department Technology Officer 2,Administrative and Office Support,PB0712,PB07 - Office of Information Technology,SS,200,24,108867,135457,0.80,-20
46,P3 Manager,Administrative and Office Support,PB0725,PB07 - Office of Information Technology,SS,200,24,108867,140735,0.77,-23
47,Application Developer 3,Administrative and Office Support,PB07A3,PB07 - Office of Information Technology,GP,200,22,87341,107649,0.81,-19
48,IT Business Analyst 2,Administrative and Office Support,PB07B2,PB07 - Office of Information Technology,GP,200,21,81764,92163,0.89,-11
49,IT Client Support Specialist 2,Administrative and Office Support,PB07C2,PB07 - Office of Information Technology,GP,200,16,57974,64859,0.89,-11
50,Database Administrator 2,Administrative and Office Support,PB07D2,PB07 - Office of Information Technology,GP,200,23,93386,103471,0.90,-10
51,IT Support Technician 1,Administrative and Office Support,PB07E1,PB07 - Office of Information Technology,GP,200,13,47307,56587,0.84,-16
52,IT Project Manager 2,Administrative and Office Support,PB07J2,PB07 - Office of Information Technology,SS,200,24,108867,103061,1.06,6
53,IT Manager 1,Administrative and Office Support,PB07M1,PB07 - Office of Information Technology,SS,200,23,101795,108063,0.94,-6
54,Network and Telecommunications Specialist 2,Administrative and Office Support,PB07N2,PB07 - Office of Information Technology,GP,200,21,81764,90517,0.90,-10
55,IT Policy and Planning Analyst 1,Administrative and Office Support,PB07P1,PB07 - Office of Information Technology,SS,200,23,101795,81077,1.26,26
56,IT Architecture Specialist 1,Administrative and Office Support,PB07R1,PB07 - Office of Information Technology,GP,200,24,99977,119301,0.84,-16
57,IT Security Specialist 1,Administrative and Office Support,PB07S1,PB07 - Office of Information Technology,GP,200,24,99977,108539,0.92,-8
58,IT Quality Assurance Analyst 2,Administrative and Office Support,PB07U2,PB07 - Office of Information Technology,GP,200,21,81764,93881,0.87,-13
59,IT Vendor Manager 2,Administrative and Office Support,PB07V2,PB07 - Office of Information Technology,GP,200,20,76440,85108,0.90,-10
60,IT Systems Administrator 2,Administrative and Office Support,PB07Y2,PB07 - Office of Information Technology,GP,200,23,93386,98514,0.95,-5
61,Project Assistant,Administrative and Office Support,PB9908,PB99 - Administrative classes not otherwise described,GP,200,16,57974,55155,1.05,5
62,Program Coordinator 1,Administrative and Office Support,PB9909,PB99 - Administrative classes not otherwise described,GP,200,18,66788,68838,0.97,-3
63,Program Manager,Administrative and Office Support,PB9912,PB99 - Administrative classes not otherwise described,SS,200,22,95326,96570,0.99,-1
64,Business Services Project Manager 1,Administrative and Office Support,PB9915,PB99 - Administrative classes not otherwise described,GP,200,20,76440,80873,0.95,-5
281,Fish and Wildlife Technician 3,Biological Sciences,PH0103,PH01 - Fish and Wildlife,GP,200,11,41925,46879,0.89,-11
282,Fishery Biologist 2,Biological Sciences,PH0112,PH01 - Fish and Wildlife,SS,200,16,63461,69866,0.91,-9
283,Habitat Biologist 2,Biological Sciences,PH0122,PH01 - Fish and Wildlife,GP,200,16,57974,70680,0.82,-18
284,Wildlife Biologist 2,Biological Sciences,PH0132,PH01 - Fish and Wildlife,GP,200,16,57974,70864,0.82,-18
285,Biometrician 2,Biological Sciences,PH0142,PH01 - Fish and Wildlife,GP,200,19,71526,110689,0.65,-35
286,Fish Culturist 1,Biological Sciences,PH0151,PH01 - Fish and Wildlife,GP,200,14,50466,,,
287,Fisheries Geneticist 1,Biological Sciences,PH0161,PH01 - Fish and Wildlife,GP,200,17,62069,83732,0.74,-26
288,Fisheries Scientist 1,Biological Sciences,PH0166,PH01 - Fish and Wildlife,SS,200,22,95326,109932,0.87,-13
289,Agronomist 1,Biological Sciences,PH0211,PH02 - Agriculture,GP,200,16,57974,66191,0.88,-12
290,Natural Resource Technician 2,Biological Sciences,PH0302,PH03 - Natural Resources and Forestry,GP,200,12,44402,47441,0.94,-6
291,Natural Resource Specialist 2,Biological Sciences,PH0312,PH03 - Natural Resources and Forestry,GP,200,16,57974,65539,0.88,-12
292,Natural Resource Manager 1,Biological Sciences,PH0321,PH03 - Natural Resources and Forestry,SS,200,18,72925,88921,0.82,-18
293,Wildland Fire and Resource Technician 3,Biological Sciences,PH0353,PH03 - Natural Resources and Forestry,GP,100,12,44850,61455,0.73,-27
294,Wildland Forestry Technician 2,Biological Sciences,PH0358,PH03 - Natural Resources and Forestry,GP,100,14,50934,,,
295,Forester 2,Biological Sciences,PH0362,PH03 - Natural Resources and Forestry,GP,200,16,57974,67873,0.85,-15
296,Fire Management Officer,Biological Sciences,PH0367,PH03 - Natural Resources and Forestry,SS,500,16,62837,,,
297,Wildland Fire Support Services 1,Biological Sciences,PH0380,PH03 - Natural Resources and Forestry,LL,2AA,56,49379,,,
298,Park Specialist,Biological Sciences,PH0410,PH04 - Parks,GP,200,14,50466,54387,0.93,-7
299,Park Ranger 1,Biological Sciences,PH0411,PH04 - Parks,GP,200,16,57974,58765,0.99,-1
300,Park Ranger 2,Biological Sciences,PH0412,PH04 - Parks,SS,600,18,72176,72433,1.00,0
301,Park Superintendent,Biological Sciences,PH0420,PH04 - Parks,SS,200,20,83470,86782,0.96,-4
302,Museum Protection & Visitor Services Assistant,Biological Sciences,PH0451,PH04 - Parks,GP,200,11,41925,49210,0.85,-15
65,Grants Administrator 2,Business Development and Regulation,PC0102,PC01 - Business Finance,GP,200,17,62069,71998,0.86,-14
66,Grants Administration Manager,Business Development and Regulation,PC0105,PC01 - Business Finance,SS,200,21,89232,87571,1.02,2
67,Loan Closer/Processor 2,Business Development and Regulation,PC0112,PC01 - Business Finance,GP,200,12,44402,48203,0.92,-8
68,Loan/Collection Officer 1,Business Development and Regulation,PC0121,PC01 - Business Finance,GP,200,16,57974,51823,1.12,12
69,Loan/Collection Manager,Business Development and Regulation,PC0125,PC01 - Business Finance,SS,200,22,95326,99339,0.96,-4
70,School Finance Specialist 2,Business Development and Regulation,PC0132,PC01 - Business Finance,GP,200,18,66788,77425,0.86,-14
71,School Finance Manager,Business Development and Regulation,PC0135,PC01 - Business Finance,SS,200,23,101795,105982,0.96,-4
72,Licensing Examiner 2,Business Development and Regulation,PC02A2,PC02 - Business Regulation and Compliance,GP,200,15,53957,49376,1.09,9
73,Insurance Licensing Examiner 2,Business Development and Regulation,PC0206,PC02 - Business Regulation and Compliance,GP,200,14,50466,53164,0.95,-5
74,Records and Licensing Supervisor,Business Development and Regulation,PC0209,PC02 - Business Regulation and Compliance,SS,200,16,63461,74216,0.86,-14
75,Financial Registration Examiner,Business Development and Regulation,PC0220,PC02 - Business Regulation and Compliance,GP,200,14,50466,44755,1.13,13
76,Insurance Specialist 2,Business Development and Regulation,PC0233,PC02 - Business Regulation and Compliance,GP,200,19,71526,73362,0.97,-3
77,Insurance Financial Examiner 2,Business Development and Regulation,PC0237,PC02 - Business Regulation and Compliance,GP,200,21,81764,89348,0.92,-8
78,Utility Financial Analyst 2,Business Development and Regulation,PC0252,PC02 - Business Regulation and Compliance,GP,200,19,71526,90573,0.79,-21
79,Utility Financial Analyst 4,Business Development and Regulation,PC0254,PC02 - Business Regulation and Compliance,SS,200,23,101795,116332,0.88,-12
80,Utility Tariff Analyst 2,Business Development and Regulation,PC0257,PC02 - Business Regulation and Compliance,GP,200,18,66788,85609,0.78,-22
81,Community Care Licensing Specialist 1,Business Development and Regulation,PC0261,PC02 - Business Regulation and Compliance,GP,200,16,57974,59485,0.97,-3
82,Community Care Licensing Specialist 3,Business Development and Regulation,PC0263,PC02 - Business Regulation and Compliance,SS,200,20,83470,83658,1.00,0
83,Financial Examiner 2,Business Development and Regulation,PC0272,PC02 - Business Regulation and Compliance,GP,200,19,71526,80694,0.89,-11
84,Financial Examiner 4,Business Development and Regulation,PC0274,PC02 - Business Regulation and Compliance,SS,200,23,101795,96738,1.05,5
85,Commercial Vehicle Compliance Inspector 2,Business Development and Regulation,PC0302,PC03 - Safety Inspection,GP,200,15,53957,61866,0.87,-13
86,Commercial Vehicle Compliance Inspector 5,Business Development and Regulation,PC0305,PC03 - Safety Inspection,SS,200,19,78000,85509,0.91,-9
87,Radiological Health Physicist 1,Business Development and Regulation,PC0310,PC03 - Safety Inspection,GP,200,19,71526,98708,0.72,-28
88,Industrial Hygienist,Business Development and Regulation,PC0321,PC03 - Safety Inspection,GP,200,19,71526,91082,0.79,-21
89,Occupational Safety & Compliance Officer,Business Development and Regulation,PC0322,PC03 - Safety Inspection,LL,2AA,49,76066,78251,0.97,-3
90,Safety Officer,Business Development and Regulation,PC0323,PC03 - Safety Inspection,GP,200,18,66788,80757,0.83,-17
91,Occupational Health and Safety Analyst,Business Development and Regulation,PC0324,PC03 - Safety Inspection,SS,200,20,83470,82789,1.01,1
92,Occupational Safety & Health Manager,Business Development and Regulation,PC0325,PC03 - Safety Inspection,SS,200,22,95326,98526,0.97,-3
93,"Safety Inspection & Compliance, Electrical Inspector",Business Development and Regulation,PC0331,PC03 - Safety Inspection,LL,2AA,49,76066,69575,1.09,9
94,"Safety Inspection & Compliance, Elevator Inspector",Business Development and Regulation,PC0332,PC03 - Safety Inspection,LL,2AA,49,76066,69045,1.10,10
95,"Safety Inspection & Compliance, Plumbing Inspector",Business Development and Regulation,PC0333,PC03 - Safety Inspection,LL,2AA,49,76066,70299,1.08,8
96,Boiler and Pressure Vessel Inspector 1,Business Development and Regulation,PC0338,PC03 - Safety Inspection,GP,200,19,71526,70094,1.02,2
97,Boiler and Pressure Vessel Inspector 2,Business Development and Regulation,PC0339,PC03 - Safety Inspection,SS,200,20,83470,77647,1.08,8
98,Mechanical Inspection Manager,Business Development and Regulation,PC0345,PC03 - Safety Inspection,SS,200,22,95326,99905,0.95,-5
99,Weights and Measures Inspector 2,Business Development and Regulation,PC0352,PC03 - Safety Inspection,GP,200,16,57974,65499,0.89,-11
100,Measurement Standards Supervisor,Business Development and Regulation,PC0355,PC03 - Safety Inspection,SS,200,18,72925,,,
101,"Chief, Weights, Measures, and Permits",Business Development and Regulation,PC0360,PC03 - Safety Inspection,SS,200,22,95326,89788,1.06,6
102,State Metrologist 2,Business Development and Regulation,PC0362,PC03 - Safety Inspection,GP,200,18,66788,90251,0.74,-26
103,Environmental Health Technician,Business Development and Regulation,PC0401,PC04 - Environmental Health,GP,200,13,47307,49331,0.96,-4
104,Environmental Health Officer 2,Business Development and Regulation,PC0412,PC04 - Environmental Health,GP,200,16,57974,67520,0.86,-14
105,Environmental Health Officer 4,Business Development and Regulation,PC0414,PC04 - Environmental Health,SS,200,20,83470,84126,0.99,-1
106,Tax Technician 3,Business Development and Regulation,PC0503,PC05 - Revenue Audit,GP,200,14,50466,55976,0.90,-10
107,Tax Technician 4,Business Development and Regulation,PC0504,PC05 - Revenue Audit,SS,200,16,63461,117716,0.54,-46
108,Tax Auditor 3,Business Development and Regulation,PC0513,PC05 - Revenue Audit,GP,200,20,76440,85799,0.89,-11
109,Revenue Audit Supervisor 2,Business Development and Regulation,PC0522,PC05 - Revenue Audit,SS,200,25,116688,88948,1.31,31
110,Revenue Appeals Officer 2,Business Development and Regulation,PC0532,PC05 - Revenue Audit,GP,200,25,107153,82854,1.29,29
111,Revenue Appeals Supervisor,Business Development and Regulation,PC0533,PC05 - Revenue Audit,SS,200,26,120598,91416,1.32,32
112,Oil and Gas Revenue Auditor 3,Business Development and Regulation,PC0543,PC05 - Revenue Audit,GP,200,22,87341,101280,0.86,-14
113,Oil and Gas Revenue Specialist,Business Development and Regulation,PC0545,PC05 - Revenue Audit,GP,200,25,107153,120690,0.89,-11
114,Corporate Income Tax Auditor 3,Business Development and Regulation,PC0553,PC05 - Revenue Audit,GP,200,22,87341,101192,0.86,-14
115,Audit and Review Analyst 2,Business Development and Regulation,PC0563,PC05 - Revenue Audit,GP,200,21,81764,69813,1.17,17
116,Audit and Review Analyst 4,Business Development and Regulation,PC0565,PC05 - Revenue Audit,SS,200,25,116688,123247,0.95,-5
379,"Food Service, Journey",Craftwork and Labor,PL0112,PL01 - Food and Custodial Services,LL,1AA,57,46883,42533,1.10,10
380,"Food Service, Foreman",Craftwork and Labor,PL0114,PL01 - Food and Custodial Services,LL,1AA,53,60923,51395,1.19,19
381,Food Service Supervisor,Craftwork and Labor,PL0115,PL01 - Food and Custodial Services,SS,100,16,63461,58810,1.08,8
382,"Environmental Services, Journey 2",Craftwork and Labor,PL0122,PL01 - Food and Custodial Services,LL,2AA,60,39125,41026,0.95,-5
383,"Environmental Services, Foreman",Craftwork and Labor,PL0124,PL01 - Food and Custodial Services,LL,2AA,57,46883,48239,0.97,-3
384,"Mechanic, Automotive, Journey",Craftwork and Labor,PL0212,"PL02 - Aircra, Automobile, or Vessel Maintenance",LL,2AA,54,57200,60073,0.95,-5
385,"Mechanic, Aircraft, Journey",Craftwork and Labor,PL0222,"PL02 - Aircra, Automobile, or Vessel Maintenance",LL,2AA,54,57200,73779,0.78,-22
386,Vessel Technician,Craftwork and Labor,PL0262,"PL02 - Aircra, Automobile, or Vessel Maintenance",GP,200,16,57974,,,
387,"Equipment Operator, Journey 2",Craftwork and Labor,PL0304,PL03 - Equipment Operation,LL,2AA,53,60923,59980,1.02,2
388,Rural Airport Foreman,Craftwork and Labor,PL0311,PL03 - Equipment Operation,LL,2AA,49,76066,68426,1.11,11
389,International Airport Foreman,Craftwork and Labor,PL0312,PL03 - Equipment Operation,LL,2AA,49,76066,68091,1.12,12
390,"Maintenance Generalist, Journey",Craftwork and Labor,PL0403,PL04 - Building and Facility Maintenance,LL,2AA,54,57200,58286,0.98,-2
391,"Maintenance Specialist, Bldg/Facility/Const, Journey 2/Lead",Craftwork and Labor,PL0412,PL04 - Building and Facility Maintenance,LL,2AA,51,69014,67647,1.02,2
392,"Maintenance Specialist, Electronics, Journey 2/Lead",Craftwork and Labor,PL0422,PL04 - Building and Facility Maintenance,LL,2AA,51,69014,73084,0.94,-6
393,"Maintenance Specialist, Electrician, Journey 2/Lead",Craftwork and Labor,PL0432,PL04 - Building and Facility Maintenance,LL,2AA,51,69014,69179,1.00,0
394,"Maintenance Specialist, Electrical Utility, Journey 2/Lead",Craftwork and Labor,PL0442,PL04 - Building and Facility Maintenance,LL,2AA,51,69014,74815,0.92,-8
395,"Maintenance Specialist, Plumbing, Journey 2/Lead",Craftwork and Labor,PL0452,PL04 - Building and Facility Maintenance,LL,2AA,51,69014,68202,1.01,1
396,Survey Instrument Technician 2,Craftwork and Labor,PL0512,PL05 - Instrument Technicians,GP,200,17,62069,61413,1.01,1
397,"Engineering Technician, Journey",Craftwork and Labor,PL0614,PL06 - Construction Support,LL,2AA,54,57200,62876,0.91,-9
398,"Materials Laboratory Technician, Journey",Craftwork and Labor,PL0635,PL06 - Construction Support,LL,2AA,53,60923,61793,0.99,-1
399,"Driller, Journey",Craftwork and Labor,PL0642,PL06 - Construction Support,LL,2AA,53,60923,55972,1.09,9
400,Boat Officer 3,Craftwork and Labor,PL0723,PL07 - Vessel and Aircraft Operation,GP,200,17,62069,,,
401,Aircraft Pilot 1,Craftwork and Labor,PL07A1,PL07 - Vessel and Aircraft Operation,GP,100,22,88121,105516,0.84,-16
402,Microfilm/Imaging Operator 1,Craftwork and Labor,PL0821,PL08 - Office Equipment Operation,GP,200,10,39410,40889,0.96,-4
403,Mail Services Courier,Craftwork and Labor,PL0841,PL08 - Office Equipment Operation,GP,100,9,37421,39793,0.94,-6
404,Mail Services Manager,Craftwork and Labor,PL0845,PL08 - Office Equipment Operation,SS,200,15,59093,66729,0.89,-11
168,Education Administrator 1,"Education, Information, Libraries, and Museums",PE0101,PE01 - Education Programs,SS,200,21,89232,82109,1.09,9
169,Education Administrator 2,"Education, Information, Libraries, and Museums",PE0102,PE01 - Education Programs,SS,200,22,95326,100388,0.95,-5
170,Education Program Assistant,"Education, Information, Libraries, and Museums",PE0110,PE01 - Education Programs,GP,200,12,44402,51919,0.86,-14
171,Education Associate 2,"Education, Information, Libraries, and Museums",PE0112,PE01 - Education Programs,GP,200,15,53957,59226,0.91,-9
172,Education Specialist 1,"Education, Information, Libraries, and Museums",PE0121,PE01 - Education Programs,GP,200,19,71526,79812,0.90,-10
173,Education Coordinator (Corrections),"Education, Information, Libraries, and Museums",PE0140,PE01 - Education Programs,GP,100,16,58481,73282,0.80,-20
174,AVTEC Instructor,"Education, Information, Libraries, and Museums",PE0201,PE02 - Teaching and Instruction,TA,,,64803,68290,0.95,-5
175,Vocational Instructor,"Education, Information, Libraries, and Museums",PE0210,PE02 - Teaching and Instruction,GP,100,16,58481,63711,0.92,-8
176,Training Specialist 1,"Education, Information, Libraries, and Museums",PE0231,PE02 - Teaching and Instruction,GP,200,16,57974,61598,0.94,-6
177,Training Specialist 3,"Education, Information, Libraries, and Museums",PE0233,PE02 - Teaching and Instruction,SS,200,20,83470,88056,0.95,-5
178,AK Military Youth Academy (AMYA) Instructor,"Education, Information, Libraries, and Museums",PE0251,PE02 - Teaching and Instruction,GP,200,16,57974,66082,0.88,-12
179,AK Military Youth Academy (AMYA) Chief Examiner,"Education, Information, Libraries, and Museums",PE0252,PE02 - Teaching and Instruction,GP,200,15,53957,68665,0.79,-21
180,AK Military Youth Academy (AMYA) Coordinator,"Education, Information, Libraries, and Museums",PE0253,PE02 - Teaching and Instruction,GP,200,16,57974,63675,0.91,-9
181,AK Military Youth Academy (AMYA) Supervisor 2,"Education, Information, Libraries, and Museums",PE0255,PE02 - Teaching and Instruction,SS,200,19,78000,80734,0.97,-3
182,AK Military Youth Academy (AMYA) Manager,"Education, Information, Libraries, and Museums",PE0259,PE02 - Teaching and Instruction,SS,200,23,101795,96574,1.05,5
183,Recreation Assistant,"Education, Information, Libraries, and Museums",PE0310,PE03 - Student Services,GP,200,11,41925,43957,0.95,-5
184,Dormitory Attendant,"Education, Information, Libraries, and Museums",PE0320,PE03 - Student Services,GP,200,11,41925,44461,0.94,-6
185,AK Military Youth Academy (AMYA) Team Leader,"Education, Information, Libraries, and Museums",PE0341,PE03 - Student Services,GP,200,13,47307,56593,0.84,-16
186,AK Military Youth Academy (AMYA) Platoon Leader,"Education, Information, Libraries, and Museums",PE0342,PE03 - Student Services,SS,600,15,58531,64971,0.90,-10
187,Aquatic Facility Manager,"Education, Information, Libraries, and Museums",PE0350,PE03 - Student Services,SS,200,17,67995,61589,1.10,10
188,Lifeguard 2,"Education, Information, Libraries, and Museums",PE0353,PE03 - Student Services,GP,200,11,41925,40928,1.02,2
189,Library Assistant 2,"Education, Information, Libraries, and Museums",PE0402,PE04 - Library and Archives,GP,200,13,47307,63596,0.74,-26
190,Librarian 1,"Education, Information, Libraries, and Museums",PE0411,PE04 - Library and Archives,GP,200,16,57974,66713,0.87,-13
191,Librarian 4,"Education, Information, Libraries, and Museums",PE0414,PE04 - Library and Archives,SS,200,22,95326,92416,1.03,3
192,Records Analyst 2,"Education, Information, Libraries, and Museums",PE0431,PE04 - Library and Archives,GP,200,18,66788,60928,1.10,10
193,Archivist 2,"Education, Information, Libraries, and Museums",PE0441,PE04 - Library and Archives,GP,200,18,66788,80368,0.83,-17
194,State Archivist,"Education, Information, Libraries, and Museums",PE0443,PE04 - Library and Archives,SS,200,22,95326,108111,0.88,-12
195,Museum Curator 2,"Education, Information, Libraries, and Museums",PE0512,PE05 - Anthropological Research and Education,GP,200,18,66788,84796,0.79,-21
196,Museum Conservator,"Education, Information, Libraries, and Museums",PE0515,PE05 - Anthropological Research and Education,GP,200,19,71526,81713,0.88,-12
197,Chief Curator,"Education, Information, Libraries, and Museums",PE0519,PE05 - Anthropological Research and Education,SS,200,22,95326,93827,1.02,2
198,Archaeologist 1,"Education, Information, Libraries, and Museums",PE0531,PE05 - Anthropological Research and Education,GP,200,16,57974,71861,0.81,-19
199,Historian 1,"Education, Information, Libraries, and Museums",PE0541,PE05 - Anthropological Research and Education,GP,200,16,57974,68687,0.84,-16
200,"Chief, Office of History and Archaeology","Education, Information, Libraries, and Museums",PE0550,PE05 - Anthropological Research and Education,SS,200,21,89232,102391,0.87,-13
201,Subsistence Resource Specialist 2,"Education, Information, Libraries, and Museums",PE0582,PE05 - Anthropological Research and Education,GP,200,16,57974,,,
202,Subsistence Program Manager,"Education, Information, Libraries, and Museums",PE0585,PE05 - Anthropological Research and Education,SS,200,22,95326,85198,1.12,12
203,Visual Information Specialist,"Education, Information, Libraries, and Museums",PE0611,"PE06 - Arts, Photography, and Information",GP,200,17,62069,70142,0.88,-12
204,Publications Technician 2,"Education, Information, Libraries, and Museums",PE0622,"PE06 - Arts, Photography, and Information",GP,200,13,47307,64161,0.74,-26
205,Publications Specialist 2,"Education, Information, Libraries, and Museums",PE0632,"PE06 - Arts, Photography, and Information",GP,200,16,57974,64110,0.90,-10
206,Information Officer 2,"Education, Information, Libraries, and Museums",PE0642,"PE06 - Arts, Photography, and Information",GP,200,17,62069,77309,0.80,-20
207,Department Communications Manager,"Education, Information, Libraries, and Museums",PE0645,"PE06 - Arts, Photography, and Information",SS,200,22,95326,101092,0.94,-6
1,Division Director - PX,Executives and Senior Administrators,PA0112,PA01 - Executives and Senior Administrators,XE,N00,27,117371,146594,0.80,-20
2,Division Operations Manager,Executives and Senior Administrators,PA0113,PA01 - Executives and Senior Administrators,SS,200,24,108867,110261,0.99,-1
117,Local Government Specialist 3,Government Management and Infrastructure,PD0103,PD01 - Government Management and Operations,GP,200,17,62069,63160,0.98,-2
118,Regulations Specialist 2,Government Management and Infrastructure,PD0122,PD01 - Government Management and Operations,GP,200,16,57974,63667,0.91,-9
119,Economist 2,Government Management and Infrastructure,PD0202,PD02 - Economic Research,GP,200,18,66788,120254,0.56,-44
120,Petroleum Economist 2,Government Management and Infrastructure,PD0222,PD02 - Economic Research,GP,200,22,87341,123109,0.71,-29
121,Planner 2,Government Management and Infrastructure,PD0332,PD03 - Development and Infrastructure Planning,GP,200,17,62069,72088,0.86,-14
122,Transportation Planner 1,Government Management and Infrastructure,PD0341,PD03 - Development and Infrastructure Planning,GP,200,21,81764,79303,1.03,3
123,Transportation Planner 2,Government Management and Infrastructure,PD0342,PD03 - Development and Infrastructure Planning,SS,200,22,95326,96146,0.99,-1
124,Emergency Management Specialist 2,Government Management and Infrastructure,PD0412,PD04 - Emergency Planning and Response,GP,200,16,57974,89739,0.65,-35
